title,genre_bucket,user_segment,avg_aesthetic_score,predicted_ctr
Four Sisters Before the Wedding,Children & Family Movies,action_viewer,5.38,0.3029
Into the Beat,Dramas,drama_viewer,5.465,0.3782
Love Naggers,International Movies,drama_viewer,5.472,0.2642
Rush,Action & Adventure,action_viewer,5.498,0.2998
Synchronic,Thrillers,action_viewer,5.332,0.452
The Zookeeper's Wife,Dramas,action_viewer,5.465,0.3221
Time Trap,Action & Adventure,action_viewer,5.498,0.2998
Tuesdays & Fridays,Comedies,drama_viewer,5.241,0.4433
Dancing Angels,International Movies,drama_viewer,5.472,0.2642
Shadow Parties,Dramas,drama_viewer,5.465,0.3782
Dark City Beneath the Beat,Documentaries,action_viewer,5.408,0.4576
Durarara!!,Other,drama_viewer,5.282,0.4587
GANTZ:O,Action & Adventure,action_viewer,5.498,0.3519
Garth Brooks: The Road I’m On,Other,family_viewer,5.282,0.4693
Gilmore Girls,Other,family_viewer,5.282,0.4693
High-Rise Invasion,Other,drama_viewer,5.282,0.4587
Next in Fashion,Other,family_viewer,5.282,0.4693
Only Mine,Thrillers,action_viewer,5.332,0.452
Peasants Rebellion,International Movies,drama_viewer,5.472,0.2642
Power Players,Other,family_viewer,5.282,0.4693
Tayo the Little Bus,Other,drama_viewer,5.282,0.4587
Ricky Zoom,Other,drama_viewer,5.282,0.4587
Ride or Die,Dramas,drama_viewer,5.465,0.3782
Sonic X,Other,drama_viewer,5.282,0.4587
The Master,Dramas,action_viewer,5.465,0.3221
Time Is Illmatic,Documentaries,action_viewer,5.408,0.4576
Wave of Cinema: One Day We'll Talk About Today,Documentaries,drama_viewer,5.408,0.4623
Zoot Suit,Other,action_viewer,5.282,0.4576
Ajaibnya Cinta,International Movies,drama_viewer,5.472,0.2642
Dad Stop Embarrassing Me!,Comedies,drama_viewer,5.241,0.3829
Fate: The Winx Saga,Other,drama_viewer,5.282,0.4587
Angamaly Diaries,Action & Adventure,action_viewer,5.498,0.3519
House of Cards,Dramas,family_viewer,5.465,0.3663
Indian Matchmaking,Other,family_viewer,5.282,0.4693
Jeffrey Epstein: Filthy Rich,Other,family_viewer,5.282,0.4693
Law School,Other,drama_viewer,5.282,0.4587
Living with Yourself,Comedies,drama_viewer,5.241,0.3829
Signal,Other,drama_viewer,5.282,0.4587
Slasher,Other,drama_viewer,5.282,0.4587
The Soul,Dramas,drama_viewer,5.465,0.3782
The Underclass,International Movies,drama_viewer,5.472,0.2642
Unnatural Selection,Other,family_viewer,5.282,0.4693
Bunk'd,Other,family_viewer,5.282,0.4693
Uppena,Dramas,drama_viewer,5.465,0.3782
Why Did You Kill Me?,Documentaries,action_viewer,5.408,0.4576
Motu Patlu in Hong Kong: Kung Fu Kings 3,Children & Family Movies,action_viewer,5.38,0.3029
Motu Patlu in the City of Gold,Children & Family Movies,action_viewer,5.38,0.3029
Motu Patlu Kung Fu Kings 4 The Challenge of Kung Fu Brothers,Children & Family Movies,action_viewer,5.38,0.3029
Motu Patlu the Superheroes – Super Villains from Mars,Children & Family Movies,action_viewer,5.38,0.3029
My Love: Six Stories of True Love,Other,family_viewer,5.282,0.4693
Shiva VS Autobots,Children & Family Movies,action_viewer,5.38,0.3029
Shiva: Journey to Plunotaria,Children & Family Movies,action_viewer,5.38,0.3029
Shiva: The Secret World Of Vedas City,Children & Family Movies,action_viewer,5.38,0.3029
A Champion Heart,Children & Family Movies,action_viewer,5.38,0.3071
The Baker and the Beauty,Other,family_viewer,5.282,0.4693
New Gods: Nezha Reborn,Action & Adventure,action_viewer,5.498,0.3519
"Nicky, Ricky, Dicky & Dawn",Other,family_viewer,5.282,0.4693
Don't be the First one,International Movies,drama_viewer,5.472,0.2642
The Stand-In,Comedies,drama_viewer,5.241,0.3591
Heaven Official's Blessing,Other,drama_viewer,5.282,0.4587
Night in Paradise,Dramas,drama_viewer,5.465,0.3782
Ojukokoro: Greed,Dramas,drama_viewer,5.465,0.3782
Roohi,Comedies,drama_viewer,5.241,0.4433
Thunder Force,Action & Adventure,action_viewer,5.498,0.2998
Dive Club,Other,drama_viewer,5.282,0.4587
Two Distant Strangers,Dramas,action_viewer,5.465,0.3221
Story of Kale: When Someone's in Love,Dramas,drama_viewer,5.465,0.3782
The Way of the Househusband,Other,drama_viewer,5.282,0.4587
Dolly Parton: A MusiCares Tribute,Documentaries,drama_viewer,5.408,0.4623
The Big Day,International Movies,drama_viewer,5.472,0.2642
The Wedding Coach,Other,drama_viewer,5.282,0.4587
This Is a Robbery: The World's Biggest Art Heist,Other,drama_viewer,5.282,0.4587
The Last Kids on Earth: Happy Apocalypse to You,Children & Family Movies,action_viewer,5.38,0.3029
Coded Bias,Documentaries,action_viewer,5.408,0.4576
Mandela,Comedies,drama_viewer,5.241,0.4433
"Vendetta: Truth, Lies and The Mafia",Other,drama_viewer,5.282,0.4587
La casa de papel,Other,drama_viewer,5.282,0.4587
The Fisherman's Diary,Dramas,drama_viewer,5.465,0.3782
What Lies Below,Other,action_viewer,5.282,0.4576
Escape from Planet Earth,Children & Family Movies,action_viewer,5.38,0.3071
Accepted,Comedies,drama_viewer,5.241,0.3591
Air Strike,Action & Adventure,action_viewer,5.498,0.3519
An American Girl: McKenna Shoots for the Stars,Children & Family Movies,action_viewer,5.38,0.3071
Concrete Cowboy,Dramas,action_viewer,5.465,0.3221
Cross: Rise of the Villains,Action & Adventure,action_viewer,5.498,0.2998
God Calling,Dramas,drama_viewer,5.465,0.3782
Irul,International Movies,drama_viewer,5.472,0.3047
Money Heist: From Tokyo to Berlin,Other,drama_viewer,5.282,0.4587
Just Say Yes,Comedies,drama_viewer,5.241,0.4433
Madame Claude,Dramas,drama_viewer,5.465,0.3782
Wild Child,Comedies,drama_viewer,5.241,0.3591
Woody Woodpecker,Children & Family Movies,action_viewer,5.38,0.3071
2012,Action & Adventure,action_viewer,5.498,0.2998
3 Idiots,Comedies,drama_viewer,5.241,0.4433
Ferrari Ki Sawaari,Comedies,drama_viewer,5.241,0.4433
Glimpses of a Future,Other,drama_viewer,5.282,0.4587
Ibrahim a Fate to Define,Documentaries,drama_viewer,5.408,0.4623
Insidious,Other,action_viewer,5.282,0.4576
Sharkdog,Other,family_viewer,5.282,0.4693
Into the Grizzly Maze,Action & Adventure,action_viewer,5.498,0.2998
Kingsglaive: Final Fantasy XV,Action & Adventure,action_viewer,5.498,0.2998
Legally Blonde,Comedies,drama_viewer,5.241,0.3591
Madam Chief Minister,Dramas,drama_viewer,5.465,0.3782
Magical Andes,Other,drama_viewer,5.282,0.4587
Maximum Risk,Action & Adventure,action_viewer,5.498,0.2998
Murder Maps,Other,drama_viewer,5.282,0.4587
My Fair Lady,Other,action_viewer,5.282,0.4576
Prank Encounters,Other,family_viewer,5.282,0.4693
S.W.A.T.: Under Siege,Action & Adventure,action_viewer,5.498,0.2998
Worth,Dramas,drama_viewer,5.465,0.3782
Secrets of Great British Castles,Other,drama_viewer,5.282,0.4587
Seven Souls in the Skull Castle: Season Bird,Action & Adventure,action_viewer,5.498,0.3519
Seven Souls in the Skull Castle: Season Flower,Action & Adventure,action_viewer,5.498,0.3519
Seven Souls in the Skull Castle: Season Wind,Action & Adventure,action_viewer,5.498,0.3519
Sniper: Ghost Shooter,Action & Adventure,action_viewer,5.498,0.2998
Starship Troopers: Traitor of Mars,Action & Adventure,action_viewer,5.498,0.2998
Takers,Action & Adventure,action_viewer,5.498,0.2998
Tersanjung the Movie,Dramas,drama_viewer,5.465,0.3782
The Knight and the Princess,Action & Adventure,action_viewer,5.498,0.3519
The Pianist,Dramas,action_viewer,5.465,0.3221
Afterlife of the Party,Comedies,drama_viewer,5.241,0.4433
The Stepfather,Other,action_viewer,5.282,0.4576
Universal Soldier: The Return,Action & Adventure,action_viewer,5.498,0.2998
Wazir,Dramas,drama_viewer,5.465,0.3782
White Boy,Documentaries,action_viewer,5.408,0.4576
Worn Stories,Other,family_viewer,5.282,0.4693
Yes Man,Comedies,drama_viewer,5.241,0.3591
At Eternity's Gate,Dramas,action_viewer,5.465,0.3221
Haunted: Latin America,International Movies,drama_viewer,5.472,0.2976
Not a Game,Documentaries,drama_viewer,5.408,0.4623
Robocar Poli,Other,drama_viewer,5.282,0.4587
Anjaam,Dramas,drama_viewer,5.465,0.3782
Yu-Gi-Oh!,Other,drama_viewer,5.282,0.4587
7 Yards: The Chris Norton Story,Documentaries,action_viewer,5.408,0.4576
Octonauts & the Ring of Fire,Children & Family Movies,action_viewer,5.38,0.3029
Rainbow High,Other,family_viewer,5.282,0.4693
Mandela: Long Walk to Freedom,Dramas,drama_viewer,5.465,0.3782
Lawless,Dramas,action_viewer,5.465,0.3221
Marked,Documentaries,drama_viewer,5.408,0.4623
A Week Away,Children & Family Movies,action_viewer,5.38,0.3071
Bad Trip,Comedies,drama_viewer,5.241,0.3591
Big Time Rush,Other,family_viewer,5.282,0.4693
Bright Star,Dramas,drama_viewer,5.465,0.3782
Black Is Beltza,Dramas,drama_viewer,5.465,0.3782
Croupier,Dramas,drama_viewer,5.465,0.3782
Elizabeth and Margaret: Love and Loyalty,Documentaries,drama_viewer,5.408,0.4623
Keeping the Bees,Dramas,drama_viewer,5.465,0.3782
Magic for Humans Spain,International Movies,drama_viewer,5.472,0.2642
Ni de coña,Comedies,drama_viewer,5.241,0.4433
Pagglait,Comedies,drama_viewer,5.241,0.4433
The Irregulars,Other,drama_viewer,5.282,0.4587
Caught by a Wave,Dramas,drama_viewer,5.465,0.3782
DOTA: Dragon's Blood,Other,family_viewer,5.282,0.4693
Dhanak,Comedies,drama_viewer,5.241,0.4433
Pui Pui Molcar,Other,drama_viewer,5.282,0.4587
Secret Magic Control Agency,Children & Family Movies,action_viewer,5.38,0.3071
Seaspiracy,Documentaries,action_viewer,5.408,0.4576
Loyiso Gola: Unlearning,Other,drama_viewer,5.282,0.4623
Men on a Mission,International Movies,drama_viewer,5.472,0.2642
Navillera,International Movies,drama_viewer,5.472,0.2642
Philomena,Dramas,action_viewer,5.465,0.3221
Any Crybabies Around?,Dramas,drama_viewer,5.465,0.3782
Hospital,Other,drama_viewer,5.282,0.4623
Jiu Jitsu,Action & Adventure,action_viewer,5.498,0.2998
Final Account,Documentaries,action_viewer,5.408,0.4576
Mighty Morphin Power Rangers,Other,family_viewer,5.282,0.4693
Alien TV,Other,drama_viewer,5.282,0.4587
Country Comfort,Comedies,drama_viewer,5.241,0.3829
Formula 1: Drive to Survive,Other,drama_viewer,5.282,0.4587
Reframe THEATER EXPERIENCE with you,International Movies,drama_viewer,5.472,0.3047
The Yin Yang Master,Action & Adventure,action_viewer,5.498,0.3519
Who's the Boss,Comedies,drama_viewer,5.241,0.4433
B: The Beginning,Other,drama_viewer,5.282,0.4587
Deadly Illusions,Thrillers,action_viewer,5.332,0.452
Get the Goat,Action & Adventure,action_viewer,5.498,0.3519
Gurgaon,Dramas,drama_viewer,5.465,0.3782
Nate Bargatze: The Greatest Average American,Other,action_viewer,5.282,0.4576
Skylines,Action & Adventure,action_viewer,5.498,0.2998
The Fluffy Movie,Other,action_viewer,5.282,0.4576
The Present,Dramas,drama_viewer,5.465,0.3782
Wave of Cinema: 90's Generation,Documentaries,drama_viewer,5.408,0.4623
Catch.er,Dramas,drama_viewer,5.465,0.3782
Operation Varsity Blues: The College Admissions Scandal,Documentaries,action_viewer,5.408,0.4576
Under Suspicion: Uncovering the Wesphael Case,Other,drama_viewer,5.282,0.4587
Get on Up,Dramas,action_viewer,5.465,0.3221
RebellComedy: Straight Outta the Zoo,Other,drama_viewer,5.282,0.4623
Bangkok Breaking,Other,drama_viewer,5.282,0.4587
Here and There,Dramas,drama_viewer,5.465,0.3782
Savages,Dramas,action_viewer,5.465,0.3221
Waffles + Mochi,Other,family_viewer,5.282,0.4693
Abla Fahita: Drama Queen,Other,drama_viewer,5.282,0.4587
C/O Kaadhal,Dramas,drama_viewer,5.465,0.3782
The BFG,Children & Family Movies,action_viewer,5.38,0.3071
The Last Blockbuster,Documentaries,action_viewer,5.408,0.4576
The Lost Pirate Kingdom,Other,family_viewer,5.282,0.4693
Zero Chill,Other,drama_viewer,5.282,0.4587
Audrey,Documentaries,drama_viewer,5.408,0.4623
Çarsi Pazar,Comedies,drama_viewer,5.241,0.4433
Heroes of Goo Jit Zu,Other,drama_viewer,5.282,0.4587
Just In Time,Comedies,drama_viewer,5.241,0.4433
Love Alarm,International Movies,drama_viewer,5.472,0.2642
Mucize,Dramas,drama_viewer,5.465,0.3782
Paper Lives,Dramas,drama_viewer,5.465,0.3782
Paradise PD,Comedies,drama_viewer,5.241,0.3829
Quiet,Dramas,drama_viewer,5.465,0.3782
Romantik Komedi,Comedies,drama_viewer,5.241,0.4433
Romantik Komedi 2: Bekarlığa Veda,Comedies,drama_viewer,5.241,0.4433
The One,Other,drama_viewer,5.282,0.4587
YES DAY,Children & Family Movies,action_viewer,5.38,0.3071
Hotel Del Luna,International Movies,drama_viewer,5.472,0.2642
You're Everything To Me,Comedies,drama_viewer,5.241,0.4433
Coven of Sisters,Dramas,drama_viewer,5.465,0.3782
Generasi 90an: Melankolia,Dramas,drama_viewer,5.465,0.3782
The Block Island Sound,Other,action_viewer,5.282,0.4576
Dealer,Other,drama_viewer,5.282,0.4587
Last Chance U: Basketball,Other,drama_viewer,5.282,0.4587
Marriage or Mortgage,Other,drama_viewer,5.282,0.4587
The Houseboat,Other,drama_viewer,5.282,0.4587
Bombay Begums,International Movies,drama_viewer,5.472,0.2642
Bombay Rose,Dramas,drama_viewer,5.465,0.3782
In the Cut,Thrillers,action_viewer,5.332,0.452
My Way,International Movies,drama_viewer,5.472,0.2642
Aelay,Comedies,drama_viewer,5.241,0.4433
City of Ghosts,Other,family_viewer,5.282,0.4693
Dogwashers,Comedies,drama_viewer,5.241,0.4433
Fate of Alakada,Comedies,drama_viewer,5.241,0.4433
Nevenka: Breaking the Silence,Other,drama_viewer,5.282,0.4587
Pokémon Journeys: The Series,Other,drama_viewer,5.282,0.4587
Sentinelle,Action & Adventure,action_viewer,5.498,0.3519
Mariposa,Comedies,drama_viewer,5.241,0.4433
Pacific Rim: The Black,Other,family_viewer,5.282,0.4693
Luv Kushh,Other,drama_viewer,5.282,0.4587
Parker,Action & Adventure,action_viewer,5.498,0.2998
Safe Haven,Dramas,action_viewer,5.465,0.3221
Moxie,Comedies,drama_viewer,5.241,0.3591
Murder Among the Mormons,Other,family_viewer,5.282,0.4693
Black or White,Dramas,action_viewer,5.465,0.3221
Indoo Ki Jawani,Action & Adventure,action_viewer,5.498,0.3519
Word Party,Other,family_viewer,5.282,0.4693
A Perfect Day For Arsenide,Other,drama_viewer,5.282,0.4587
Banyuki,Action & Adventure,action_viewer,5.498,0.3519
Biggie: I Got a Story to Tell,Documentaries,action_viewer,5.408,0.4576
Pororo - The Little Penguin,Other,drama_viewer,5.282,0.4587
Blanche Gardin: The All-Nighter,Other,drama_viewer,5.282,0.4623
Connected,Documentaries,drama_viewer,5.408,0.4623
Dances with Wolves,Action & Adventure,action_viewer,5.498,0.2998
How to Be Really Bad,Comedies,drama_viewer,5.241,0.4433
LEGO Marvel Spider-Man: Vexed by Venom,Children & Family Movies,action_viewer,5.38,0.3071
Rain Man,Other,action_viewer,5.282,0.4576
Seven Souls in the Skull Castle 2011,Action & Adventure,action_viewer,5.498,0.3519
Tenacious D in The Pick of Destiny,Comedies,drama_viewer,5.241,0.3591
TIGER & BUNNY,Other,drama_viewer,5.282,0.4587
Bigfoot Family,Children & Family Movies,action_viewer,5.38,0.3029
Q-Force,Other,family_viewer,5.282,0.4693
Captain Fantastic,Comedies,drama_viewer,5.241,0.3591
Crazy About Her,Comedies,drama_viewer,5.241,0.4433
Fuga,Dramas,drama_viewer,5.465,0.3782
Ginny & Georgia - The Afterparty,Comedies,drama_viewer,5.241,0.4433
No Escape,Action & Adventure,action_viewer,5.498,0.2998
Our Idiot Brother,Comedies,drama_viewer,5.241,0.3591
The Girl on the Train,International Movies,drama_viewer,5.472,0.3047
Tony Manero,Dramas,drama_viewer,5.465,0.3782
Who Am I,International Movies,drama_viewer,5.472,0.3047
El final del paraíso,Other,family_viewer,5.282,0.4693
Shikara,Dramas,drama_viewer,5.465,0.3782
Geez & Ann,Dramas,drama_viewer,5.465,0.3782
Sin senos sí hay paraíso,International Movies,drama_viewer,5.472,0.2976
The Last Bastion,International Movies,drama_viewer,5.472,0.2642
Age of Samurai: Battle for Japan,Other,family_viewer,5.282,0.4693
"Blue, Painful, Fragile",International Movies,drama_viewer,5.472,0.3047
Canine Intervention,Other,family_viewer,5.282,0.4693
Ginny & Georgia,Other,family_viewer,5.282,0.4693
M8 - When Death Rescues Life,Dramas,drama_viewer,5.465,0.3782
Two Sentence Horror Stories,Other,family_viewer,5.282,0.4693
Brian Regan: On the Rocks,Other,action_viewer,5.282,0.4576
A Cinderella Story,Children & Family Movies,action_viewer,5.38,0.3071
Made You Look: A True Story About Fake Art,Documentaries,drama_viewer,5.408,0.4623
Pelé,Documentaries,drama_viewer,5.408,0.4623
Red,Dramas,drama_viewer,5.465,0.3782
Zindagi in Short,International Movies,drama_viewer,5.472,0.2642
The Conjuring,Other,action_viewer,5.282,0.4576
The Conjuring 2,Other,action_viewer,5.282,0.4576
Vincenzo,International Movies,drama_viewer,5.472,0.2642
Classmates Minus,Comedies,drama_viewer,5.241,0.4433
Fate: The Winx Saga - The Afterparty,Comedies,drama_viewer,5.241,0.4433
Operation Finale,Dramas,action_viewer,5.465,0.3221
Agatha Christie's Crooked House,Dramas,drama_viewer,5.465,0.3782
Wave of Cinema: Surat dari Timur,Documentaries,drama_viewer,5.408,0.4623
I Care a Lot,Comedies,drama_viewer,5.241,0.3591
Love,Dramas,drama_viewer,5.465,0.3782
Perú: Tesoro escondido,Documentaries,drama_viewer,5.408,0.4623
Pitta Kathalu,International Movies,drama_viewer,5.472,0.2642
Tribes of Europa,International Movies,drama_viewer,5.472,0.2642
Eeb Allay Ooo!,Comedies,drama_viewer,5.241,0.4433
"Hello, Me!",International Movies,drama_viewer,5.472,0.2642
No Escape Room,Other,action_viewer,5.282,0.4576
Sisyphus,International Movies,drama_viewer,5.472,0.2642
Je Suis Karl,Dramas,drama_viewer,5.465,0.3782
An Unfinished Life,Dramas,action_viewer,5.465,0.3221
Thus Spoke Kishibe Rohan,Other,drama_viewer,5.282,0.4587
Amend: The Fight for America,Other,family_viewer,5.282,0.4693
Behind Her Eyes,Other,drama_viewer,5.282,0.4587
MeatEater,Other,family_viewer,5.282,0.4693
The Most Unknown,Documentaries,action_viewer,5.408,0.4576
Animals on the Loose: A You vs. Wild Movie,Children & Family Movies,action_viewer,5.38,0.3071
Awara Paagal Deewana,Action & Adventure,action_viewer,5.498,0.3519
Good Girls,Other,family_viewer,5.282,0.4693
The Resurrection of Gavin Stone,Children & Family Movies,action_viewer,5.38,0.3071
Booba,Other,drama_viewer,5.282,0.4587
Barbie Big City Big Dreams,Children & Family Movies,action_viewer,5.38,0.3029
"My Teacher, My Obsession",Thrillers,action_viewer,5.332,0.452
The Crew,Comedies,drama_viewer,5.241,0.3829
Namaste Wahala,Comedies,drama_viewer,5.241,0.4433
Monsoon,Dramas,drama_viewer,5.465,0.3782
Buried by the Bernards,Other,family_viewer,5.282,0.4693
Chappelle's Show,Comedies,drama_viewer,5.241,0.3829
Hate by Dani Rovira,Other,drama_viewer,5.282,0.4623
Mundina Nildana,Dramas,drama_viewer,5.465,0.3782
Nadiya Bakes,Other,drama_viewer,5.282,0.4587
To All The Boys: Always And Forever,Comedies,drama_viewer,5.241,0.3591
Blade Runner: The Final Cut,Action & Adventure,action_viewer,5.498,0.2998
Xico's Journey,Children & Family Movies,action_viewer,5.38,0.3029
Capitani,Other,drama_viewer,5.282,0.4587
El Chema,Other,drama_viewer,5.282,0.4587
Growing up and other problems,Comedies,drama_viewer,5.241,0.4433
Layla Majnun,Dramas,drama_viewer,5.465,0.3782
Middle of Nowhere,Dramas,action_viewer,5.465,0.3221
Red Dot,International Movies,drama_viewer,5.472,0.3047
Squared Love,Comedies,drama_viewer,5.241,0.4433
This Is the Life,Documentaries,action_viewer,5.408,0.4576
Crime Scene: The Vanishing at the Cecil Hotel,Other,family_viewer,5.282,0.4693
Brave Animated Series,International Movies,drama_viewer,5.472,0.2642
The Misadventures of Hedi and Cokeman,Comedies,drama_viewer,5.241,0.4433
The World We Make,Dramas,action_viewer,5.465,0.3221
Five Came Back: The Reference Films,Other,action_viewer,5.282,0.386
ICarly,Other,family_viewer,5.282,0.4693
War Dogs,Comedies,drama_viewer,5.241,0.3591
Monster Run,Action & Adventure,action_viewer,5.498,0.3519
The Sinner,Other,family_viewer,5.282,0.4693
Blanche Gardin: I talk to myself,Other,drama_viewer,5.282,0.4623
Doob: No Bed of Roses,Dramas,drama_viewer,5.465,0.3782
Hache,Other,drama_viewer,5.282,0.4587
Chappie,Action & Adventure,action_viewer,5.498,0.2998
Invisible City,Other,drama_viewer,5.282,0.4587
Little Big Women,Dramas,drama_viewer,5.465,0.3782
Malcolm & Marie,Dramas,action_viewer,5.465,0.3221
Space Sweepers,Action & Adventure,action_viewer,5.498,0.3519
"Strip Down, Rise Up",Documentaries,action_viewer,5.408,0.4576
The Last Paradiso,Dramas,drama_viewer,5.465,0.3782
The Yin-Yang Master: Dream Of Eternity,Action & Adventure,action_viewer,5.498,0.3519
All My Friends Are Dead,Comedies,drama_viewer,5.241,0.4433
Black Beach,Action & Adventure,action_viewer,5.498,0.2998
Firefly Lane,Other,family_viewer,5.282,0.4693
Clear and Present Danger,Action & Adventure,action_viewer,5.498,0.2998
"Pablo Escobar, el patrón del mal",Other,drama_viewer,5.282,0.4587
Power Rangers Ninja Steel,Other,family_viewer,5.282,0.4693
"Our Lady of San Juan, Four Centuries of Miracles",Dramas,drama_viewer,5.465,0.3782
Tiffany Haddish Presents: They Ready,Other,family_viewer,5.282,0.4693
Beverly Hills Ninja,Action & Adventure,action_viewer,5.498,0.2998
Heartland,Dramas,drama_viewer,5.465,0.4022
Love Daily,Other,family_viewer,5.282,0.4693
My Dead Ex,Comedies,drama_viewer,5.241,0.3829
Rocks,Dramas,drama_viewer,5.465,0.3782
Shutter Island,Thrillers,action_viewer,5.332,0.452
Cliffhanger,Action & Adventure,action_viewer,5.498,0.2998
The Bank Job,Dramas,action_viewer,5.465,0.3221
The House Arrest of Us,International Movies,drama_viewer,5.472,0.2642
The Unsettling,Other,family_viewer,5.282,0.4693
Total Drama,Other,family_viewer,5.282,0.4693
Zac and Mia,Other,family_viewer,5.282,0.4693
Zathura,Children & Family Movies,action_viewer,5.38,0.3071
Zig & Sharko,Other,drama_viewer,5.282,0.4587
Fatima,Dramas,action_viewer,5.465,0.3221
Hell Fest,Other,action_viewer,5.282,0.4576
Below Zero,Action & Adventure,action_viewer,5.498,0.3519
Cold Mountain,Dramas,action_viewer,5.465,0.3221
Finding ‘Ohana,Children & Family Movies,action_viewer,5.38,0.3071
The Dig,Dramas,drama_viewer,5.465,0.3782
We Are: The Brooklyn Saints,Other,family_viewer,5.282,0.4693
June & Kopi,Children & Family Movies,action_viewer,5.38,0.3029
50M2,International Movies,drama_viewer,5.472,0.2642
Accomplice,Documentaries,action_viewer,5.408,0.4576
BONDING,Comedies,drama_viewer,5.241,0.3829
Kilometers and Kilometers,Comedies,drama_viewer,5.241,0.4433
Outlander,Other,family_viewer,5.282,0.4693
Penguin Bloom,Children & Family Movies,action_viewer,5.38,0.3071
Crocodile Dundee in Los Angeles,Action & Adventure,action_viewer,5.498,0.2998
Black Rose,Dramas,drama_viewer,5.465,0.3782
Go Dog Go,Other,family_viewer,5.282,0.4693
Hire a Woman,Comedies,drama_viewer,5.241,0.4433
She Is,Dramas,drama_viewer,5.465,0.3782
Blown Away,International Movies,drama_viewer,5.472,0.2642
Busted!,Other,drama_viewer,5.282,0.4587
Demon Slayer: Kimetsu no Yaiba,Other,drama_viewer,5.282,0.4587
So My Grandma’s a Lesbian!,Comedies,drama_viewer,5.241,0.4433
The Next Three Days,Dramas,action_viewer,5.465,0.3221
The White Tiger,Dramas,action_viewer,5.465,0.3221
Dear John,Dramas,action_viewer,5.465,0.3221
Friendsgiving,Comedies,drama_viewer,5.241,0.3591
The Shadow of Violence,Dramas,drama_viewer,5.465,0.3782
Cut Throat City,Dramas,action_viewer,5.465,0.3221
Daughter From Another Mother,International Movies,drama_viewer,5.472,0.2642
Sightless,Thrillers,action_viewer,5.332,0.452
Spycraft,Other,family_viewer,5.282,0.4693
Hello Ninja,Other,family_viewer,5.282,0.4693
Homefront,Action & Adventure,action_viewer,5.498,0.2998
A Monster Calls,Dramas,action_viewer,5.465,0.3221
Death of Me,Other,action_viewer,5.282,0.4576
Confessions of an Invisible Girl,Children & Family Movies,action_viewer,5.38,0.3029
Do the Right Thing,Other,action_viewer,5.282,0.4576
Radium Girls,Dramas,action_viewer,5.465,0.3221
Bling Empire,Other,family_viewer,5.282,0.4693
Carmen Sandiego,Other,family_viewer,5.282,0.4693
Disenchantment,Other,family_viewer,5.282,0.4693
Double Dad,Children & Family Movies,action_viewer,5.38,0.3029
Henry Danger,Other,family_viewer,5.282,0.4693
Outside the Wire,Action & Adventure,action_viewer,5.498,0.2998
Penguins of Madagascar: The Movie,Children & Family Movies,action_viewer,5.38,0.3071
